duration,serializeType,applicationCpuLoad,swapUseMemory,concurrentlyMonitoringCount,systemCpuLoad,systemUseMemory,rowsCount,applicationUseMemory,columnsCount,freeMemory
286,1,0.012919082209960188,0,1,0.008608647062932177,8423145472,100,4032823296,5,4179017728
176,1,0.136986301369863,0,1,0.1780821917808219,8424955904,200,4031774720,5,4178255872
168,1,0.10666666666666667,0,1,0.14666666666666667,8425209856,300,4031774720,5,4178001920
409,1,0.07260726072607261,0,1,0.09063833212589552,8387305472,400,4139778048,5,4107902976
165,1,0.1951219512195122,0,1,0.23170731707317074,8387305472,500,4139778048,5,4107902976
585,1,0.15221579961464354,0,1,0.16377649325626203,8508321792,600,4139253760,5,3987410944
170,1,0.12222222222222222,0,1,0.15555555555555556,8508321792,700,4139253760,5,3987410944
277,1,0.04761904761904762,0,1,0.06190476190476191,8508960768,800,4139253760,5,3986771968
405,1,0.08573573573573573,0,1,0.09517209517209517,8502747136,900,4146069504,5,3986169856
169,1,0.11538461538461539,0,1,0.15384615384615385,8502747136,1000,4146069504,5,3986169856
223,1,0.232,0,1,0.24,8502919168,1100,4145545216,5,3986522112
166,1,0.07894736842105263,0,1,0.10526315789473684,8502919168,1200,4145545216,5,3986522112
168,1,0.09009009009009009,0,1,0.11711711711711711,8503148544,1300,4145545216,5,3986292736
376,1,0.047549019607843135,0,1,0.06988795518207282,8501456896,1400,4147642368,5,3985887232
165,1,0.07758620689655173,0,1,0.11206896551724138,8501465088,1500,4147642368,5,3985879040
411,1,0.07191738210775166,0,1,0.06382978723404255,8503029760,1600,4147118080,5,3984838656
473,1,0.026578947368421053,0,1,0.03241025641025641,8503386112,1700,4147118080,5,3984482304
594,1,0.13994826311899483,0,1,0.14359431265545533,8581824512,1800,4149215232,5,3903946752
474,1,0.027313266443701224,0,1,0.039681730429344426,8580059136,1900,4149215232,5,3905712128
471,1,0.017605633802816902,0,1,0.047277567846100994,8580366336,2000,4149215232,5,3905404928
714,1,0.037947824533190386,0,1,0.05208612525685696,8590966784,2100,4149215232,5,3894804480
1573,1,0.011790800458340155,0,1,0.021022164300114866,8591372288,2200,4149215232,5,3894398976
1938,1,0.011819444124647308,0,1,0.02061564931289238,8618516480,2300,4151312384,5,3865157632
1447,1,0.014315467925576229,0,1,0.021706403561376097,8618950656,2400,4151312384,5,3864723456
471,1,0.015672029060716137,0,1,0.1023656215005599,8619302912,2500,4151312384,5,3864371200
605,1,0.035121914956883736,0,1,0.05651646685958385,8619749376,2600,4151312384,5,3863924736
466,1,0.02251247315902488,0,1,0.023491379310344826,8619651072,2700,4151312384,5,3864023040
597,1,0.11816730523627077,0,1,0.15215759849906194,8743555072,2800,4152360960,5,3739070464
266,1,0.031609195402298854,0,1,0.2046861184792219,8743858176,2900,4152360960,5,3738767360
369,1,0.024206349206349204,0,1,0.03649436982770316,8743976960,3000,4152360960,5,3738648576
310,1,0.09031764255644853,0,1,0.10275545350172216,8744230912,3100,4152360960,5,3738394624
266,1,0.03665164369034994,0,1,0.07734623541887592,8744214528,3200,4152360960,5,3738411008
441,1,0.09003421164169238,0,1,0.09793310579651071,8743641088,3300,4153409536,5,3737935872
472,1,0.023966789073572994,0,1,0.0402670403298544,8743731200,3400,4153409536,5,3737845760
269,1,0.03656215005599104,0,1,0.031914893617021274,8743694336,3500,4153409536,5,3737882624
398,1,0.050124131082423036,0,1,0.06745283018867924,8744280064,3600,4153409536,5,3737296896
369,1,0.05397523161278125,0,1,0.1020277935337493,8744239104,3700,4153409536,5,3737337856
574,1,0.1193194925028835,0,1,0.13248011119983438,8745144320,3800,4153933824,5,3735908352
580,1,0.013482335976928623,0,1,0.03676945035492172,8744927232,3900,4153933824,5,3736125440
1475,1,0.010565601345668628,0,1,0.025742866209044268,8745660416,4000,4153933824,5,3735392256
519,1,0.045678219940094134,0,1,0.049743260590500646,8751677440,4100,4154458112,5,3728850944
369,1,0.029012345679012345,0,1,0.03364197530864197,8752091136,4200,4154458112,5,3728437248
439,1,0.059036480089111665,0,1,0.08236125839519265,8751640576,4300,4155506688,5,3727839232
472,1,0.023882459723167687,0,1,0.02941343317449512,8751714304,4400,4155506688,5,3727765504
670,1,0.024621548597231476,0,1,0.033512818985105754,8751587328,4500,4155506688,5,3727892480
502,1,0.02587298928244723,0,1,0.03457415420928403,8751747072,4600,4155506688,5,3727732736
370,1,0.028304996824565738,0,1,0.05786319938333551,8751968256,4700,4155506688,5,3727511552
578,1,0.10754299248275151,0,1,0.10762562444901558,8752910336,4800,4155506688,5,3726569472
469,1,0.02082352171637886,0,1,0.033035714285714286,8752984064,4900,4155506688,5,3726495744
371,1,0.032554296506137864,0,1,0.08083097261567516,8752730112,5000,4155506688,5,3726749696
510,1,0.03549570912375791,0,1,0.058570460704607044,8753238016,5100,4155506688,5,3726241792
568,1,0.01710494931425164,0,1,0.020333929636255216,8753217536,5200,4155506688,5,3726262272
543,1,0.051413170163170166,0,1,0.048339160839160844,8753618944,5300,4156030976,5,3725336576
571,1,0.02368663594470046,0,1,0.03783410138248848,8753893376,5400,4156030976,5,3725062144
468,1,0.013712686567164178,0,1,0.037149759444535566,8753446912,5500,4156030976,5,3725508608
397,1,0.04199161686014144,0,1,0.06422549511290247,8753786880,5600,4156555264,5,3724644352
570,1,0.02140623604038238,0,1,0.04022156705083534,8753991680,5700,4156555264,5,3724439552
584,1,0.09157176459628776,0,1,0.10382624471811686,8753668096,5800,4157603840,5,3723714560
370,1,0.03473507148864592,0,1,0.06032633242999097,8753778688,5900,4157603840,5,3723603968
471,1,0.020715249662618083,0,1,0.030886080115861886,8753577984,6000,4157603840,5,3723804672
512,1,0.0394288190094379,0,1,0.047572141485007935,8754589696,6100,4157603840,5,3722792960
669,1,0.017166848702545683,0,1,0.03800191265867247,8754728960,6200,4157603840,5,3722653696
642,1,0.03630662020905923,0,1,0.08824129595116549,8755814400,6300,4156555264,5,3722616832
572,1,0.01923076923076923,0,1,0.013675213675213677,8755961856,6400,4156555264,5,3722469376
671,1,0.025509658292071646,0,1,0.03380750317528238,8755802112,6500,4156555264,5,3722629120
606,1,0.026643356643356642,0,1,0.0320979020979021,8755412992,6600,4157079552,5,3722493952
470,1,0.03348106444323229,0,1,0.0642610847034988,8755929088,6700,4157079552,5,3721977856
684,1,0.06464349577782597,0,1,0.0748225964091879,8754900992,6800,4158128128,5,3721957376
476,1,0.0284910568155249,0,1,0.05120508923700413,8755093504,6900,4158128128,5,3721764864
470,1,0.02521575984990619,0,1,0.061400875547217015,8755027968,7000,4158128128,5,3721830400
612,1,0.023756073858114672,0,1,0.047361516034985424,8755421184,7100,4158128128,5,3721437184
470,1,0.025786930730960583,0,1,0.031596823574435516,8755265536,7200,4158128128,5,3721592832
545,1,0.03548311444652908,0,1,0.06439962476547842,8755482624,7300,4158128128,5,3721375744
567,1,0.020504514711436123,0,1,0.02287119273420643,8755671040,7400,4158128128,5,3721187328
677,1,0.016461923545904356,0,1,0.036405479359502745,8755826688,7500,4158128128,5,3721031680
499,1,0.028226675285498815,0,1,0.05087347790898723,8756150272,7600,4158128128,5,3720708096
779,1,0.021459188715238147,0,1,0.04450566862783219,8756154368,7700,4158128128,5,3720704000
886,1,0.04219185636342911,0,1,0.06103722462006734,8756432896,7800,4158128128,5,3720425472
674,1,0.01268803530281292,0,1,0.02975641248596772,8756871168,7900,4158128128,5,3719987200
769,1,0.01829742113461893,0,1,0.04073750296368293,8756715520,8000,4158128128,5,3720142848
526,1,0.03520537641817097,0,1,0.05242696706628083,8756494336,8100,4158128128,5,3720364032
569,1,0.03548654358553928,0,1,0.06501445231000468,8756527104,8200,4158128128,5,3720331264
533,1,0.04000647341164582,0,1,0.046003852469369715,8756953088,8300,4158128128,5,3719905280
670,1,0.024754994010072657,0,1,0.046541966775361675,8757100544,8400,4158128128,5,3719757824
467,1,0.01781489558551414,0,1,0.03067688551275095,8756944896,8500,4158128128,5,3719913472
491,1,0.029303723093062197,0,1,0.0533319715951502,8757604352,8600,4158128128,5,3719254016
871,1,0.01547303021719161,0,1,0.029599979623956607,8757424128,8700,4158128128,5,3719434240
625,1,0.030367521367521366,0,1,0.04835042735042735,8757764096,8800,4158128128,5,3719094272
577,1,0.02474943593397459,0,1,0.047688701621021984,8757551104,8900,4158128128,5,3719307264
578,1,0.029741772463946752,0,1,0.042250242760038845,8758542336,9000,4158128128,5,3718316032
569,1,0.021529942925291763,0,1,0.03990288780986455,8758681600,9100,4158128128,5,3718176768
573,1,0.01981204587761965,0,1,0.03888613052947319,8758956032,9200,4158128128,5,3717902336
824,1,0.036930998294634663,0,1,0.062383014358093895,8758792192,9300,4158128128,5,3718066176
676,1,0.01647856519941916,0,1,0.03295613650136878,8758919168,9400,4158128128,5,3717939200
791,1,0.038533334915624336,0,1,0.05897913881175221,8758816768,9500,4158128128,5,3718041600
569,1,0.012942404633951165,0,1,0.026587351060608756,8758730752,9600,4158128128,5,3718127616
573,1,0.025770799987446254,0,1,0.02582587954680978,8758329344,9700,4158128128,5,3718529024
706,1,0.026248849351069137,0,1,0.04218928965434857,8759230464,9800,4158128128,5,3717627904
772,1,0.02167911095676333,0,1,0.021563350118654862,8758919168,9900,4158128128,5,3717939200
841,1,0.02272345367830578,0,1,0.04677296410560551,8759484416,10000,4158128128,5,3717373952
771,1,0.020488009527418395,0,1,0.03860129417620707,8759173120,10100,4158128128,5,3717685248
568,1,0.019747798666506326,0,1,0.03476136075145976,8759398400,10200,4158128128,5,3717459968
1285,1,0.01833876738182958,0,1,0.0168820307167839,8759193600,10300,4158128128,5,3717664768
1186,1,0.010045238426855212,0,1,0.024872121700857456,8759160832,10400,4158128128,5,3717697536
789,1,0.0241370808678501,0,1,0.03898750821827745,8759418880,10500,4158128128,5,3717439488
870,1,0.02425250900860657,0,1,0.04736730918133357,8760020992,10600,4158128128,5,3716837376
771,1,0.01644088669950739,0,1,0.030771579835919615,8759939072,10700,4158128128,5,3716919296
873,1,0.02446146513030821,0,1,0.03277141548644894,8760123392,10800,4158128128,5,3716734976
2376,1,0.007168661404277571,0,1,0.015571566423005423,8759980032,10900,4158128128,5,3716878336
2524,1,0.006213936943470257,0,1,0.03743296160269948,8759926784,11000,4158128128,5,3716931584
267,1,0.010869565217391306,0,1,0.03369565217391304,8760135680,100,4158128128,10,3716722688
168,1,0.11392405063291139,0,1,0.13924050632911394,8759734272,200,4158128128,10,3717124096
175,1,0.11224489795918367,0,1,0.15306122448979592,8759681024,300,4158128128,10,3717177344
370,1,0.03238831615120275,0,1,0.042494342469197886,8759681024,400,4158128128,10,3717177344
210,1,0.1590909090909091,0,1,0.1984732824427481,8759681024,500,4158128128,10,3717177344
368,1,0.024691358024691357,0,1,0.05567136867949876,8759554048,600,4158128128,10,3717304320
268,1,0.04654626698938745,0,1,0.07475330478495626,8759844864,700,4158128128,10,3717013504
480,1,0.02632299270072993,0,1,0.14579331540530158,8759672832,800,4158128128,10,3717185536
369,1,0.016317016317016316,0,1,0.05827505827505827,8759906304,900,4158128128,10,3716952064
423,1,0.15327669902912622,0,1,0.17063106796116503,8760324096,1000,4158128128,10,3716534272
581,1,0.00872960372960373,0,1,0.021999260901699926,8760643584,1100,4158128128,10,3716214784
370,1,0.016877637130801686,0,1,0.049125979505726336,8760201216,1200,4158128128,10,3716657152
414,1,0.058161512027491404,0,1,0.08170103092783505,8761864192,1300,4157079552,10,3716042752
267,1,0.023121387283236993,0,1,0.05560143132397467,8761896960,1400,4157079552,10,3716009984
308,1,0.07317961165048543,0,1,0.08046116504854368,8761339904,1500,4157603840,10,3716042752
271,1,0.057527774230621886,0,1,0.08281190141744349,8761085952,1600,4157603840,10,3716296704
574,1,0.022862392710614413,0,1,0.0392180774748924,8761446400,1700,4157603840,10,3715936256
476,1,0.026105536975102192,0,1,0.03061594202898551,8761278464,1800,4157603840,10,3716104192
370,1,0.029720419770888407,0,1,0.03268645357686453,8760713216,1900,4157603840,10,3716669440
415,1,0.03579806549053633,0,1,0.045020726887110764,8760844288,2000,4157603840,10,3716538368
375,1,0.02616826757693631,0,1,0.03339220978539864,8760758272,2100,4157603840,10,3716624384
472,1,0.02373139127867746,0,1,0.025133634868421052,8761028608,2200,4157603840,10,3716354048
368,1,0.04305681246857718,0,1,0.07070387129210659,8760946688,2300,4157603840,10,3716435968
368,1,0.020409404751041763,0,1,0.026126927639383152,8760594432,2400,4157603840,10,3716788224
1009,1,0.0673933759994708,0,1,0.07473274422360476,8801525760,2500,4157603840,10,3675856896
698,1,0.01192865105908584,0,1,0.026930376386898127,8801759232,2600,4157603840,10,3675623424
470,1,0.024892113355230974,0,1,0.04635500384373471,8802365440,2700,4157603840,10,3675017216
513,1,0.029577549643339116,0,1,0.033336948139579714,8802242560,2800,4157603840,10,3675140096
569,1,0.021230529595015576,0,1,0.022094416486939848,8802275328,2900,4157603840,10,3675107328
913,1,0.01707632102153398,0,1,0.027292390066552787,8803446784,3000,4156030976,10,3675508736
